Time,User,Trial,Repetition,TrialType,LightType,SoundType,gazeDirectionL.x,gazeDirectionL.y,gazeDirectionL.z,pupilPosL.x,pupilPosL.y,pupilsDiameterL,pupilsDiameterLmm,eyeOpennessL,gazeDirectionR.x,gazeDirectionR.y,gazeDirectionR.z,pupilPosR.x,pupilPosR.y,pupilsDiameterR,pupilsDiameterRmm,eyeOpennessR,light,sound,computedBrightness
0.09912109,15021843,22,1,LightSound,Day,neutral,0.03895569,-0.2371521,0.9706879,0.02502751,0.1000781,1.965363,1.959503,1,0.01416016,-0.2424011,0.9700623,-0.02258903,-0.002914429,1.978165,1.973053,1,7,False,235
0.1992188,15021843,22,1,LightSound,Day,neutral,0.03775024,-0.2364807,0.9708862,0.0249598,0.100089,1.946854,1.936462,1,0.01225281,-0.2406464,0.97052,-0.02368701,-0.003057718,1.927719,1.918304,1,7,False,235
0.2991943,15021843,22,1,LightSound,Day,neutral,0.03627014,-0.2344055,0.9714508,0.02501369,0.100026,1.921112,1.924515,1,0.01199341,-0.2401123,0.9706573,-0.02422941,-0.002991676,1.91803,1.918106,1,7,False,235
0.3991699,15021843,22,1,LightSound,Day,neutral,0.03739929,-0.2379913,0.9705353,0.02546477,0.09891754,1.9422,1.948929,1,0.01266479,-0.2418365,0.9702301,-0.02401751,-0.003312111,1.914017,1.920471,1,7,False,235
0.4991455,15021843,22,1,LightSound,Day,neutral,0.0402832,-0.2420197,0.9694214,0.02616644,0.09826797,1.950546,1.948517,1,0.01278687,-0.2413635,0.9703369,-0.02435869,-0.003469944,1.938538,1.960098,1,7,False,235
0.5991211,15021843,22,1,LightSound,Day,neutral,0.04063416,-0.2407837,0.9697113,0.02685761,0.09832555,1.970367,1.970474,1,0.01333618,-0.2408142,0.9704742,-0.02435869,-0.003640413,1.960052,1.964874,1,7,False,235
0.6992188,15021843,22,1,LightSound,Day,neutral,0.04260254,-0.2417145,0.9694061,0.02869689,0.09787279,1.987259,1.986557,1,0.01478577,-0.2409668,0.9704132,-0.02407134,-0.003674746,1.997726,1.999756,1,7,False,235
0.7991943,15021843,22,1,LightSound,Day,neutral,0.03991699,-0.2376099,0.9705353,0.02795398,0.09830594,2.022491,2.023483,1,0.01441956,-0.2415009,0.9702759,-0.02424896,-0.00396347,2.019608,2.033997,1,7,False,235
0.8991699,15021843,22,1,LightSound,Day,neutral,0.04043579,-0.2399139,0.9699402,0.02808535,0.09773874,2.044983,2.044968,1,0.01393127,-0.2397461,0.9707336,-0.0245961,-0.003712893,2.083038,2.082977,1,7,False,235
0.9991455,15021843,22,1,LightSound,Day,neutral,0.04185486,-0.2416687,0.9694519,0.02823806,0.09641325,2.062073,2.061981,1,0.01261902,-0.239212,0.970871,-0.02518159,-0.004259467,2.077789,2.069672,1,7,False,235
1.099121,15021843,22,1,LightSound,Day,neutral,0.04266357,-0.2405853,0.9696808,0.02836144,0.09599936,2.067001,2.067841,1,0.01373291,-0.241333,0.9703369,-0.02523673,-0.005488873,2.012115,2.023178,1,7,False,235
1.199219,15021843,22,1,LightSound,Day,neutral,0.04605103,-0.2416077,0.9692688,0.02914786,0.0954898,2.068024,2.067947,1,0.01402283,-0.2414856,0.9702911,-0.02554667,-0.005684972,2.022934,2.01976,1,7,False,235
1.299194,15021843,22,1,LightSound,Day,neutral,0.04534912,-0.2443085,0.9686279,0.02894759,0.09466416,2.062164,2.062149,1,0.01318359,-0.2423706,0.9700928,-0.02587759,-0.005935788,2.016449,2.017578,1,7,False,235
1.39917,15021843,22,1,LightSound,Day,neutral,0.0446167,-0.2419891,0.9692383,0.02929544,0.09513336,2.050842,2.035324,1,0.01203918,-0.24086,0.9704742,-0.02557677,-0.005567074,1.989838,1.978394,1,7,False,235
1.499146,15021843,22,1,LightSound,Day,neutral,0,0,0,0.0161128,-0.07454634,-1,-1,0.1324995,0,0,0,-0.06270599,-0.02721894,-1,-1,0.4928186,7,False,235
1.599121,15021843,22,1,LightSound,Day,neutral,0,0,0,0.02306783,-0.1209451,-1,-1,0,0,0,0,-0.09971052,-0.1183,-1,-1,0.2165365,7,False,235
1.699219,15021843,22,1,LightSound,Day,neutral,-0.06803894,-0.4398499,0.8954773,-0.04426575,-0.01805878,2.002502,2.029266,1,-0.09080505,-0.4131317,0.9061279,-0.1065532,-0.1178454,1.942642,2.004242,1,7,False,234
1.799194,15021843,22,1,LightSound,Day,neutral,-0.07458496,-0.4228363,0.9031219,-0.04734093,-0.0142982,2.062759,2.09227,1,-0.08618164,-0.4113159,0.9073944,-0.1030917,-0.118408,2.057205,2.088196,1,7,False,234
1.89917,15021843,22,1,LightSound,Day,neutral,-0.07901001,-0.4263916,0.901062,-0.04820275,-0.01647294,2.067642,2.047058,1,-0.08062744,-0.4142151,0.9065857,-0.1012412,-0.1201268,2.043686,2.031235,1,7,False,234
