Time,User,Trial,Repetition,TrialType,LightType,SoundType,gazeDirectionL.x,gazeDirectionL.y,gazeDirectionL.z,pupilPosL.x,pupilPosL.y,pupilsDiameterL,pupilsDiameterLmm,eyeOpennessL,gazeDirectionR.x,gazeDirectionR.y,gazeDirectionR.z,pupilPosR.x,pupilPosR.y,pupilsDiameterR,pupilsDiameterRmm,eyeOpennessR,light,sound,computedBrightness
0.09133911,15021843,12,0,Sound,Day,arousal,0.08856201,0.00894165,0.9960175,0.05135036,0.2078648,2.305328,2.3134,1,0.0382843,-0.007629395,0.9992371,3.385544E-05,0.1407177,2.161743,2.165375,1,7,False,233
0.1913452,15021843,12,0,Sound,Day,arousal,0.08865356,0.008392334,0.9960175,0.05237842,0.2070767,2.345688,2.351944,1,0.04165649,-0.008422852,0.9990845,0.001401186,0.1388708,2.226013,2.251022,1,7,False,233
0.2913208,15021843,12,0,Sound,Day,arousal,0.08743286,0.00592041,0.9961395,0.05284083,0.2057345,2.345612,2.35202,1,0.04391479,-0.0161438,0.9989014,0.002717614,0.135604,2.28508,2.277512,1,7,False,233
0.3913269,15021843,12,0,Sound,Day,arousal,0.04475403,-0.04450989,0.9980011,0.03195536,0.2043273,2.323059,-1,1,0.02490234,-0.03892517,0.9989166,-0.01372087,0.1339939,2.232376,2.116104,1,7,False,233
0.491333,15021843,12,0,Sound,Day,arousal,0,0,0,-0.01806563,-0.02443945,-1,1.85257,0.2863196,0,0,0,-0.1086704,-0.07191932,-1,2.176437,0.3826838,7,False,233
0.5913391,15021843,12,0,Sound,Day,arousal,-0.07040405,-0.4129333,0.90802,-0.03900361,-0.007861018,2.221527,2.141541,0.6327561,-0.08807373,-0.3588867,0.9291992,-0.1045343,-0.07754993,2.182724,2.167679,0.6187704,7,False,233
0.6913452,15021843,12,0,Sound,Day,arousal,-0.08094788,-0.4052277,0.910614,-0.04443914,-0.009114146,2.237915,2.237915,0.6902543,-0.08546448,-0.3603821,0.9288635,-0.1014206,-0.08089602,2.181274,2.172775,0.7991111,7,False,233
0.7913208,15021843,12,0,Sound,Day,arousal,-0.07795715,-0.4057465,0.9106445,-0.04507083,-0.009554148,2.255157,2.26059,0.6127609,-0.08534241,-0.3566742,0.9303131,-0.1000162,-0.08169484,2.167191,2.165771,0.6948585,7,False,233
0.8913269,15021843,12,0,Sound,Day,arousal,-0.08113098,-0.4025116,0.9118042,-0.04626918,-0.009554148,2.190048,2.164581,0.6096469,-0.08198547,-0.3637543,0.9278717,-0.09953386,-0.08295119,2.079041,2.057968,0.694361,7,False,233
0.991333,15021843,12,0,Sound,Day,arousal,-0.09333801,-0.3898926,0.9161072,-0.04737765,-0.0108943,2.100418,2.009705,0.6103145,-0.07929993,-0.3627625,0.9284821,-0.09915322,-0.08414602,2.024979,2.08342,0.7118382,7,False,233
