Time,User,Trial,Repetition,TrialType,LightType,SoundType,gazeDirectionL.x,gazeDirectionL.y,gazeDirectionL.z,pupilPosL.x,pupilPosL.y,pupilsDiameterL,pupilsDiameterLmm,eyeOpennessL,gazeDirectionR.x,gazeDirectionR.y,gazeDirectionR.z,pupilPosR.x,pupilPosR.y,pupilsDiameterR,pupilsDiameterRmm,eyeOpennessR,light,sound,computedBrightness
0.09057617,15021843,19,1,LightSound,Day,arousal,0.02467346,6.103516E-05,0.9996948,0.01416898,0.2294702,2.298996,2.303802,1,-0.0001831055,-0.01919556,0.9998016,-0.03859359,0.1279653,2.173584,2.196884,1,7,False,232
0.1905518,15021843,19,1,LightSound,Day,arousal,0.02003479,-0.01101685,0.9997253,0.01416874,0.2273656,2.305557,2.305527,1,-0.0009613037,-0.02407837,0.9996948,-0.03827059,0.1258556,2.206909,2.206848,1,7,False,232
0.2905273,15021843,19,1,LightSound,Day,arousal,0.02064514,-0.015625,0.9996643,0.01443326,0.2251148,2.282455,2.2827,1,-0.001266479,-0.02108765,0.9997711,-0.03766161,0.125748,2.207703,2.207733,1,7,False,232
0.3905029,15021843,19,1,LightSound,Day,arousal,0.01841736,-0.01676941,0.9996796,0.01394284,0.2238495,2.279083,2.281967,1,0.002716064,-0.02342224,0.9997101,-0.0361405,0.1242836,2.22023,2.22554,1,7,False,232
0.4904785,15021843,19,1,LightSound,Day,arousal,0.02479553,-0.02981567,0.9992371,0.01394534,0.2206114,2.315704,2.318008,1,0.003677368,-0.02415466,0.9996948,-0.03567237,0.1235096,2.23111,2.22551,1,7,False,232
0.5905762,15021843,19,1,LightSound,Day,arousal,0.02015686,-0.02883911,0.9993744,0.01255918,0.2203058,2.357803,2.362198,1,0.004089355,-0.02476501,0.9996796,-0.03604913,0.1232521,2.227844,2.227646,1,7,False,232
0.6905518,15021843,19,1,LightSound,Day,arousal,0.01916504,-0.02876282,0.9993896,0.01200342,0.2202228,2.3591,2.364639,1,0.001327515,-0.02372742,0.9997101,-0.03704989,0.1233682,2.244202,2.245163,1,7,False,232
0.7905273,15021843,19,1,LightSound,Day,arousal,0.02104187,-0.02928162,0.9993439,0.012748,0.2201135,2.339249,2.35141,1,0.002410889,-0.02633667,0.999649,-0.03642684,0.122903,2.237091,2.251587,1,7,False,232
0.8905029,15021843,19,1,LightSound,Day,arousal,0.0234375,-0.02961731,0.9992828,0.01390672,0.2196094,2.372147,2.37915,1,0.001327515,-0.0266571,0.9996338,-0.03617281,0.122482,2.250717,2.246384,1,7,False,232
0.9904785,15021843,19,1,LightSound,Day,arousal,0.0216217,-0.0291748,0.9993286,0.01340699,0.2191232,2.359009,2.370316,1,0.002960205,-0.03010559,0.999527,-0.03588897,0.1211334,2.253098,2.246094,1,7,False,232
1.090576,15021843,19,1,LightSound,Day,arousal,0.01976013,-0.03433228,0.9992065,0.01225781,0.2176506,2.365005,2.352783,1,0.002349854,-0.03118896,0.9994965,-0.03706604,0.1206092,2.25827,2.258102,1,7,False,232
1.190552,15021843,19,1,LightSound,Day,arousal,0.01872253,-0.03074646,0.9993439,0.01146281,0.2179134,2.36618,2.353928,1,0.001144409,-0.02865601,0.999588,-0.03771436,0.1208819,2.248978,2.248932,1,7,False,232
1.290527,15021843,19,1,LightSound,Day,arousal,0.02134705,-0.03019714,0.9993134,0.01223993,0.2173061,2.355057,2.354874,1,0.003768921,-0.03103638,0.9994965,-0.0366807,0.1199828,2.246414,2.244781,1,7,False,232
1.390503,15021843,19,1,LightSound,Day,arousal,0.01860046,-0.02975464,0.9993744,0.01149142,0.2162874,2.373306,2.376297,1,0.001098633,-0.03036499,0.999527,-0.03701675,0.1194694,2.252975,2.252853,1,7,False,232
1.490479,15021843,19,1,LightSound,Day,arousal,0.01919556,-0.03488159,0.9992065,0.01149142,0.2141289,2.381851,2.385071,1,-0.0008087158,-0.03118896,0.9995117,-0.03755814,0.1188818,2.256088,2.260391,1,7,False,232
1.590576,15021843,19,1,LightSound,Day,arousal,0.01942444,-0.03695679,0.999115,0.01183176,0.2133949,2.381042,2.390106,1,-0.0008239746,-0.0328064,0.9994507,-0.03718877,0.1184425,2.256348,2.253281,1,7,False,232
1.690552,15021843,19,1,LightSound,Day,arousal,0.01989746,-0.03611755,0.9991455,0.01212311,0.2133375,2.380829,2.370468,1,0.001907349,-0.03326416,0.9994354,-0.03590184,0.1181865,2.24736,2.256516,1,7,False,232
1.790527,15021843,19,1,LightSound,Day,arousal,0.01293945,-0.04151917,0.9990387,0.01212037,0.2134438,2.379807,2.375839,1,0,-0.03495789,0.9993744,-0.03623635,0.1177213,2.250122,2.266632,1,7,False,232
1.890503,15021843,19,1,LightSound,Day,arousal,0.01219177,-0.0438385,0.9989624,0.0118984,0.2131235,2.38179,2.387695,1,-0.001907349,-0.03297424,0.9994507,-0.03644478,0.1177429,2.264496,2.267166,1,7,False,232
1.990601,15021843,19,1,LightSound,Day,arousal,0.01290894,-0.04342651,0.9989624,0.01210129,0.2131621,2.388428,2.400314,1,-0.001602173,-0.03515625,0.9993744,-0.03649193,0.1172742,2.264908,2.265137,1,7,False,232
2.090576,15021843,19,1,LightSound,Day,arousal,0.01580811,-0.03782654,0.9991455,0.01131558,0.2131565,2.408722,2.408646,1,-0.002731323,-0.03579712,0.9993439,-0.03697371,0.1170809,2.291473,2.286224,1,7,False,232
2.190552,15021843,19,1,LightSound,Day,arousal,0.01130676,-0.0440979,0.9989624,0.01090038,0.2122818,2.389023,2.388565,1,-0.002853394,-0.03518677,0.9993744,-0.03720641,0.1166414,2.28891,2.28862,1,7,False,232
2.290527,15021843,19,1,LightSound,Day,arousal,0.01194763,-0.0459137,0.9988708,0.01114559,0.2112969,2.403229,2.403458,1,-0.006088257,-0.03717041,0.9992828,-0.03799134,0.1156676,2.278259,2.27713,1,7,False,232
2.390503,15021843,19,1,LightSound,Day,arousal,0.01150513,-0.04762268,0.9987946,0.01085567,0.2105403,2.385498,2.385788,1,-0.009796143,-0.04029846,0.9991302,-0.03929037,0.1143436,2.271225,2.296265,1,7,False,232
2.490601,15021843,19,1,LightSound,Day,arousal,0.02018738,-0.04110718,0.9989471,0.01069844,0.2104593,2.393768,2.384613,1,-0.009262085,-0.04220581,0.999054,-0.03960693,0.1133801,2.311325,2.322083,1,7,False,232
2.590576,15021843,19,1,LightSound,Day,arousal,0.01994324,-0.04402161,0.9988251,0.01051331,0.2098639,2.394928,2.394531,1,-0.007843018,-0.04156494,0.9990997,-0.03941053,0.1135729,2.327377,2.333221,1,7,False,232
2.690552,15021843,19,1,LightSound,Day,arousal,0.01824951,-0.04425049,0.9988403,0.009883285,0.2097316,2.397263,2.391968,1,-0.007873535,-0.04252625,0.999054,-0.03967863,0.1131309,2.340897,2.334015,1,7,False,232
2.790527,15021843,19,1,LightSound,Day,arousal,0.02105713,-0.04312134,0.9988403,0.01054227,0.2097681,2.398178,2.402664,1,-0.008239746,-0.04483032,0.9989471,-0.03970873,0.1124396,2.330399,2.335724,1,7,False,232
2.890503,15021843,19,1,LightSound,Day,arousal,0.02275085,-0.04243469,0.9988251,0.01085627,0.2095949,2.415695,2.397156,1,-0.009399414,-0.04763794,0.9988098,-0.03903657,0.1122768,2.326523,2.317307,1,7,False,232
2.990601,15021843,19,1,LightSound,Day,arousal,0.0202179,-0.04327393,0.9988556,0.009885073,0.2093483,2.392578,2.385239,1,-0.01123047,-0.04911804,0.9987183,-0.03955537,0.1118815,2.334763,2.339645,1,7,False,232
3.090576,15021843,19,1,LightSound,Day,arousal,0.02166748,-0.04515076,0.9987335,0.009735346,0.2088029,2.399506,2.399765,1,-0.01367188,-0.05142212,0.9985809,-0.04037976,0.1110376,2.336685,2.326996,1,7,False,232
3.190552,15021843,19,1,LightSound,Day,arousal,0.02084351,-0.04421997,0.9987946,0.00946331,0.2086601,2.40332,2.40683,1,-0.01449585,-0.05311584,0.9984741,-0.04043961,0.1100075,2.330704,2.330551,1,7,False,232
3.290527,15021843,19,1,LightSound,Day,arousal,0.02095032,-0.04441833,0.9987793,0.009596825,0.2085443,2.408051,2.415192,1,-0.0128479,-0.05303955,0.9985046,-0.03988981,0.1097191,2.343613,2.341049,1,7,False,232
3.390503,15021843,19,1,LightSound,Day,arousal,0.01712036,-0.04470825,0.9988403,0.007867932,0.2085899,2.419937,2.409866,1,-0.01371765,-0.05235291,0.9985199,-0.0406369,0.1095229,2.340668,2.340454,1,7,False,232
3.490601,15021843,19,1,LightSound,Day,arousal,0.01783752,-0.04585266,0.9987793,0.008820057,0.2082465,2.415939,2.41861,1,-0.012146,-0.05369568,0.9984741,-0.03982621,0.1091974,2.333344,2.346161,1,7,False,232
3.590576,15021843,19,1,LightSound,Day,arousal,0.01985168,-0.04734802,0.9986725,0.009468675,0.2078569,2.420319,2.420227,1,-0.01225281,-0.05714417,0.9982758,-0.03982621,0.1079043,2.346252,2.346329,1,7,False,232
3.690552,15021843,19,1,LightSound,Day,arousal,0.02282715,-0.05245972,0.9983521,0.009758353,0.2058636,2.40184,2.393494,1,-0.003753662,-0.05963135,0.9981995,-0.03932101,0.1061995,2.323715,2.31485,1,7,False,232
3.790527,15021843,19,1,LightSound,Day,arousal,0.02487183,-0.05653381,0.9980774,0.0104965,0.204573,2.390335,2.383224,1,0.009246826,-0.05917358,0.9981995,-0.03704894,0.1047972,2.310257,2.312149,1,7,False,232
3.890503,15021843,19,1,LightSound,Day,arousal,0.02604675,-0.05992126,0.9978485,0.01096296,0.2030901,2.384033,2.384109,1,0.008758545,-0.05905151,0.9982147,-0.03694272,0.1036593,2.331833,2.345764,1,7,False,232
3.990601,15021843,19,1,LightSound,Day,arousal,0.02940369,-0.05601501,0.9979858,0.01097131,0.2029108,2.391312,2.390106,1,0.00352478,-0.06108093,0.9981232,-0.03741372,0.1029519,2.342438,2.337387,1,7,False,232
4.090576,15021843,19,1,LightSound,Day,arousal,0.02740479,-0.06124878,0.9977417,0.01117325,0.2023177,2.377625,2.377289,1,-0.004837036,-0.0680542,0.9976654,-0.03755361,0.1020119,2.325073,2.316986,1,5.618712,True,199
