Time,User,Trial,Repetition,TrialType,LightType,SoundType,gazeDirectionL.x,gazeDirectionL.y,gazeDirectionL.z,pupilPosL.x,pupilPosL.y,pupilsDiameterL,pupilsDiameterLmm,eyeOpennessL,gazeDirectionR.x,gazeDirectionR.y,gazeDirectionR.z,pupilPosR.x,pupilPosR.y,pupilsDiameterR,pupilsDiameterRmm,eyeOpennessR,light,sound,computedBrightness
0.09838867,08121447,6,1,Sound,Twilight,null,-0.123764,-0.07415771,0.9895325,-0.08088851,0.147661,5.289627,5.290161,1,-0.1323242,-0.1120758,0.9848328,0.0003348589,0.08094186,5.700699,5.698975,1,1,False,3
0.1984863,08121447,6,1,Sound,Twilight,null,-0.1253357,-0.07575989,0.989212,-0.08170807,0.1466613,5.300034,5.307693,0.9312758,-0.1308746,-0.112915,0.9849396,0.001044035,0.07920593,5.702972,5.628601,1,1,False,3
0.2984619,08121447,6,1,Sound,Twilight,null,-0.006088257,-0.06777954,0.9976807,-0.003115237,0.1529778,5.166855,5.167542,1,0.006500244,-0.1036835,0.9945831,0.07981145,0.08123833,5.645325,5.670639,1,1,False,3
0.3984375,08121447,6,1,Sound,Twilight,null,-0.004669189,-0.07295227,0.9973145,-0.00334084,0.1526097,5.185562,5.18515,1,0.008590698,-0.09986877,0.9949493,0.08046448,0.08123833,5.672592,5.677002,1,1,False,3
0.4984131,08121447,6,1,Sound,Twilight,null,0.1498566,-0.08253479,0.9852448,0.1026258,0.151342,5.329224,5.20224,0.9696745,0.1610107,-0.1068726,0.9811401,0.180269,0.07492143,5.693436,5.791626,0.9359669,1,False,3
0.5983887,08121447,6,1,Sound,Twilight,null,0.1432495,-0.09194946,0.9853973,0.1092876,0.1496754,5.292267,5.282562,0.9765077,0.1661682,-0.1069641,0.9802704,0.1901647,0.07154083,5.706223,5.711853,0.9649341,1,False,3
0.6984863,08121447,6,1,Sound,Twilight,null,0.1424561,-0.09280396,0.9854279,0.1067262,0.1500047,5.276138,5.285919,0.9838485,0.1654816,-0.1056671,0.9805298,0.1900402,0.07168871,5.720978,5.72052,0.9699503,1,False,3
0.7984619,08121447,6,1,Sound,Twilight,null,0.1347656,-0.1064911,0.9851227,0.1040909,0.1435804,5.289978,5.272751,0.9796579,0.1628876,-0.1203003,0.9792786,0.1882457,0.0659107,5.661469,5.713608,0.9685934,1,False,3
0.8984375,08121447,6,1,Sound,Twilight,null,0.1316986,-0.1008606,0.9861298,0.1025006,0.1419749,5.275299,5.275238,0.977494,0.1620483,-0.1239319,0.9789581,0.1861105,0.06274384,5.699814,5.700546,0.9598669,1,False,3
0.9984131,08121447,6,1,Sound,Twilight,null,0.1341095,-0.09895325,0.9860077,0.1037751,0.1423248,5.262024,5.251556,0.9726769,0.1647339,-0.1235962,0.9785614,0.1881783,0.06303102,5.701706,5.644562,0.9477149,1,False,3
