Time,User,Trial,Repetition,TrialType,LightType,SoundType,gazeDirectionL.x,gazeDirectionL.y,gazeDirectionL.z,pupilPosL.x,pupilPosL.y,pupilsDiameterL,pupilsDiameterLmm,eyeOpennessL,gazeDirectionR.x,gazeDirectionR.y,gazeDirectionR.z,pupilPosR.x,pupilPosR.y,pupilsDiameterR,pupilsDiameterRmm,eyeOpennessR,light,sound,computedBrightness
0.09753418,08121447,25,0,LightDynamic,Day,neutral,0.09761047,-0.1395111,0.9853821,0.07081056,0.1146788,2.733444,2.733109,1,0.07969666,-0.133316,0.987854,0.1389902,0.0612753,2.848633,2.848526,1,7.101473,False,155
0.1975098,08121447,25,0,LightDynamic,Day,neutral,0.01763916,-0.09675598,0.9951477,0.01102138,0.1354986,2.764038,2.701157,0.9749914,-0.001449585,-0.09169006,0.9957733,0.07627344,0.08617049,2.895157,2.848877,0.940267,7.086513,False,153
0.2975464,08121447,25,0,LightDynamic,Day,neutral,0.01069641,-0.08976746,0.9958954,0.002027392,0.1360803,2.743652,2.732468,1,-0.01564026,-0.1041718,0.9944305,0.06799364,0.08426225,2.898453,2.906021,1,7.053244,False,153
0.397522,08121447,25,0,LightDynamic,Day,neutral,0.01031494,-0.09141541,0.9957581,0.001407743,0.135668,2.668442,2.663513,1,-0.01712036,-0.1075897,0.9940338,0.0680685,0.08291459,2.865784,2.865723,1,7.032549,False,151
0.4974976,08121447,25,0,LightDynamic,Day,neutral,0.01121521,-0.09159851,0.9957275,0.001331449,0.1359432,2.644348,2.63028,1,-0.01554871,-0.1076355,0.9940643,0.06895351,0.08286834,2.834259,2.847,1,7,False,150
0.5975342,08121447,25,0,LightDynamic,Day,neutral,0.01242065,-0.09048462,0.9958191,0.002079487,0.1368801,2.57515,2.556274,1,-0.01397705,-0.1098175,0.9938507,0.07037675,0.08282381,2.799759,2.79245,1,7,False,149
0.6975098,08121447,25,0,LightDynamic,Day,neutral,0.01318359,-0.08840942,0.9959869,0.002067685,0.1376666,2.551376,2.551376,1,-0.01220703,-0.1089325,0.9939728,0.07117927,0.08352768,2.779282,2.755402,1,7,False,149
0.7975464,08121447,25,0,LightDynamic,Day,neutral,-0.1160278,-0.1370697,0.9837341,-0.084306,0.1181177,2.480087,2.546585,0.8259317,-0.1279755,-0.129715,0.9832458,-0.0161792,0.07718325,2.732101,2.68663,0.83854,7,False,149
0.897522,08121447,25,0,LightDynamic,Day,neutral,-0.2036743,-0.2217255,0.953598,-0.1434707,0.05225098,2.657211,2.717194,0.8176464,-0.2332153,-0.2181549,0.9476318,-0.09296954,0.005172431,2.796295,2.749954,0.8840317,7,False,149
0.9974976,08121447,25,0,LightDynamic,Day,neutral,-0.2151947,-0.2295532,0.9492035,-0.1557849,0.04005224,2.699997,2.711823,0.8079145,-0.2263184,-0.2260284,0.9474487,-0.09130228,-0.007967472,2.742996,2.761505,0.9397823,7,False,149
1.097534,08121447,25,0,LightDynamic,Day,neutral,-0.2156219,-0.2309418,0.948761,-0.1581392,0.03802598,2.730621,2.800476,0.8229993,-0.2315979,-0.2243195,0.946579,-0.09269929,-0.00789535,2.797943,2.807541,0.9469298,7,False,149
1.19751,08121447,25,0,LightDynamic,Day,neutral,-0.09783936,-0.2154846,0.9715881,-0.06777418,0.0546152,2.666611,2.648117,0.9044239,-0.1154785,-0.2299805,0.9663086,-0.006227434,-0.003234744,2.907303,2.796234,0.9312723,7,False,149
1.297546,08121447,25,0,LightDynamic,Day,neutral,-0.0970459,-0.2151337,0.9717407,-0.06809908,0.05490583,2.633209,2.628723,0.9138592,-0.113678,-0.2242126,0.9678802,-0.004826486,-0.001628399,2.770691,2.760147,0.9605465,7,False,149
1.397522,08121447,25,0,LightDynamic,Day,neutral,0.02709961,-0.2467957,0.9686737,0.02566719,0.03310633,2.468079,2.4879,0.9725475,0.008972168,-0.2605286,0.9654083,0.08545554,-0.02696848,2.603333,2.605255,0.9397287,7,False,149
1.497498,08121447,25,0,LightDynamic,Day,neutral,0.02796936,-0.2457275,0.9689331,0.0250777,0.03362703,2.468399,2.468307,0.9865247,0.008132935,-0.2606964,0.9653778,0.08596623,-0.02704227,2.607758,2.610519,0.9505885,7,False,149
1.597534,08121447,25,0,LightDynamic,Day,neutral,0.06422424,-0.1507874,0.9864655,0.04718411,0.1036383,2.620056,2.664856,0.9799338,0.04937744,-0.1554718,0.9866028,0.1044893,0.05188608,2.748428,2.756592,0.9319814,7,False,149
1.69751,08121447,25,0,LightDynamic,Day,neutral,0.0597229,-0.142395,0.9879913,0.04047298,0.1043562,2.652924,2.651871,1,0.04347229,-0.1456604,0.9883728,0.1036404,0.04861611,2.726242,2.742294,1,7,False,149
1.797546,08121447,25,0,LightDynamic,Day,neutral,0.01123047,-0.1012726,0.9947815,0.008342624,0.1306795,2.547531,2.534348,1,-0.01516724,-0.1122131,0.9935608,0.06724894,0.07644254,2.751282,2.78334,1,7,False,149
1.897522,08121447,25,0,LightDynamic,Day,neutral,0.01689148,-0.09591675,0.9952393,0.008159161,0.1303231,2.563095,2.563904,1,-0.01367188,-0.111618,0.9936523,0.06841099,0.07390612,2.764954,2.765167,1,7,False,149
1.997498,08121447,25,0,LightDynamic,Day,neutral,0.0158844,-0.09376526,0.9954529,0.006729007,0.1306047,2.562622,2.562973,1,-0.01394653,-0.109436,0.9938812,0.06836462,0.07468766,2.741226,2.736282,1,7,False,149
