Time,User,Trial,Repetition,TrialType,LightType,SoundType,gazeDirectionL.x,gazeDirectionL.y,gazeDirectionL.z,pupilPosL.x,pupilPosL.y,pupilsDiameterL,pupilsDiameterLmm,eyeOpennessL,gazeDirectionR.x,gazeDirectionR.y,gazeDirectionR.z,pupilPosR.x,pupilPosR.y,pupilsDiameterR,pupilsDiameterRmm,eyeOpennessR,light,sound,computedBrightness
0.09939575,08121447,30,0,LightDynamic,Twilight,relax,0.02166748,-0.09677124,0.9950562,0.01253855,0.130758,5.080261,5.082169,1,0.029953,-0.088974,0.995575,0.09589994,0.07478392,5.664429,5.663895,1,1.116412,False,3
0.1994019,08121447,30,0,LightDynamic,Twilight,relax,-0.03459167,-0.05552673,0.9978485,-0.01878828,0.1514232,5.139221,5.140823,1,-0.005661011,-0.06091309,0.9981232,0.06513631,0.09627616,5.666458,5.683609,1,1.081615,False,3
0.299408,08121447,30,0,LightDynamic,Twilight,relax,-0.03771973,-0.05619812,0.9976959,-0.02002168,0.1514557,5.146118,5.150421,1,-0.008087158,-0.06192017,0.9980469,0.06430066,0.09456658,5.706131,5.705948,1,1.061596,False,3
0.3994141,08121447,30,0,LightDynamic,Twilight,relax,-0.03797913,-0.05688477,0.9976501,-0.0225116,0.1495016,5.160522,5.162094,1,-0.007568359,-0.06375122,0.9979248,0.06464946,0.093216,5.71611,5.7155,1,1.027431,False,3
0.4994202,08121447,30,0,LightDynamic,Twilight,relax,-0.03713989,-0.05027771,0.9980316,-0.02344805,0.1515429,5.176514,5.176239,1,-0.01138306,-0.06239319,0.9979858,0.06353641,0.09431899,5.729614,5.748734,1,1.010338,False,3
0.5993958,08121447,30,0,LightDynamic,Twilight,relax,-0.03660583,-0.04559326,0.9982758,-0.02286059,0.1537707,5.188034,5.187668,1,-0.01113892,-0.06280518,0.9979553,0.06416392,0.09535062,5.775452,5.782181,1,1,False,3
0.6994019,08121447,30,0,LightDynamic,Twilight,relax,-0.03640747,-0.04350281,0.9983826,-0.0221225,0.1548239,5.220688,5.228607,1,-0.01060486,-0.06100464,0.9980774,0.06484711,0.09659821,5.784714,5.789642,1,1,False,3
0.799408,08121447,30,0,LightDynamic,Twilight,relax,-0.03692627,-0.03546143,0.9986877,-0.02406645,0.1577007,5.305038,5.333313,1,-0.0168457,-0.06079102,0.9980011,0.0622803,0.09756941,5.829498,5.831009,1,1,False,3
0.8994141,08121447,30,0,LightDynamic,Twilight,relax,-0.0377655,-0.03999329,0.9984741,-0.02504504,0.1560301,5.332657,5.350739,1,-0.02124023,-0.06306458,0.9977722,0.06208599,0.09805071,5.836014,5.848328,1,1,False,3
0.9994202,08121447,30,0,LightDynamic,Twilight,relax,-0.0375824,-0.04142761,0.9984283,-0.02562654,0.1550028,5.398529,5.404144,0.9599209,-0.01803589,-0.06385803,0.9977875,0.06318355,0.09720564,5.868912,5.869095,0.998471,1,False,3
1.099396,08121447,30,0,LightDynamic,Twilight,relax,-0.03956604,-0.03981018,0.9984131,-0.02646995,0.1554819,5.423782,5.507828,1,-0.02107239,-0.06335449,0.997757,0.06237304,0.09739763,5.905441,6.01741,1,1,False,3
1.199402,08121447,30,0,LightDynamic,Twilight,relax,0.1032562,-0.1187744,0.9875336,0.08276272,0.1209438,5.456802,5.424301,0.9925424,0.145752,-0.1209106,0.9819031,0.1639889,0.05382705,5.887238,5.92038,0.9592018,1,False,3
1.299408,08121447,30,0,LightDynamic,Twilight,relax,0.1205444,-0.1134949,0.9861908,0.08484221,0.121698,5.465958,5.465927,1,0.1371765,-0.1184082,0.983429,0.1629666,0.05486327,5.922928,5.915146,1,1,False,3
1.399414,08121447,30,0,LightDynamic,Twilight,relax,0.1175232,-0.1155396,0.9863129,0.08190012,0.1223376,5.447861,5.443527,0.9999128,0.1366119,-0.1199646,0.9833221,0.1644924,0.05533582,5.907913,5.908905,0.9656073,1,False,3
1.49942,08121447,30,0,LightDynamic,Twilight,relax,0.1196442,-0.1152649,0.9860992,0.08184838,0.1222178,5.453583,5.461807,0.9950545,0.1351471,-0.1149445,0.9841309,0.1654131,0.05692792,5.909317,5.90921,0.9765352,1,False,3
1.599396,08121447,30,0,LightDynamic,Twilight,relax,0.1186523,-0.1133423,0.9864349,0.08136129,0.1230063,5.474121,5.469452,0.99518,0.1342773,-0.1160431,0.9841156,0.1654253,0.05696929,5.926773,5.870239,0.9691691,1,False,3
1.699402,08121447,30,0,LightDynamic,Twilight,relax,-0.0201416,-0.2333832,0.972168,-0.005240321,0.04333228,5.380173,5.380051,0.9316798,-0.01528931,-0.273941,0.9616089,0.06375194,-0.02466571,5.865295,5.85405,0.9566124,1,False,3
1.799408,08121447,30,0,LightDynamic,Twilight,relax,-0.02368164,-0.2418518,0.9700165,-0.008098841,0.04150695,5.352859,5.355042,0.9310444,-0.006439209,-0.2631073,0.9647369,0.0695734,-0.02070951,5.855911,5.851532,0.9472618,1,False,3
1.899414,08121447,30,0,LightDynamic,Twilight,relax,-0.02633667,-0.2413635,0.9700623,-0.01032138,0.04214746,5.344482,5.519409,0.9235791,-0.00100708,-0.2645721,0.9643555,0.07196426,-0.02093875,5.856049,5.947983,0.9339716,1,False,3
1.99942,08121447,30,0,LightDynamic,Twilight,relax,-0.07778931,-0.1026611,0.9916534,-0.04639506,0.1240125,5.385147,5.423584,0.9266448,-0.05761719,-0.1110535,0.9921265,0.03732586,0.06852949,5.924225,5.934021,0.9503494,1,False,3
2.099396,08121447,30,0,LightSound,Twilight,relax,-0.0725708,-0.09646606,0.9926758,-0.04591006,0.1251104,5.385071,5.382523,0.9351857,-0.05741882,-0.1151123,0.991684,0.03887618,0.06725585,5.93045,5.923691,0.9775002,-0.2500536,True,1
2.199402,08121447,30,0,LightSound,Twilight,relax,-0.06942749,-0.08995056,0.993515,-0.04575706,0.1266907,5.336929,5.334793,0.9409151,-0.05558777,-0.1147919,0.9918213,0.04032934,0.06807059,5.91478,5.909515,0.9874043,-0.221709,True,1
2.299408,08121447,30,0,LightSound,Twilight,relax,-0.06878662,-0.08862305,0.9936829,-0.04533231,0.1266599,5.304688,5.290665,1,-0.05662537,-0.1188965,0.9912872,0.04062724,0.06660974,5.910629,5.902908,1,-0.1614824,True,1
2.399414,08121447,30,0,LightSound,Twilight,relax,-0.0644989,-0.08470154,0.9943085,-0.04560071,0.1257544,5.286804,5.279694,1,-0.05586243,-0.1178589,0.9914551,0.04029024,0.06526428,5.891312,5.891205,1,-0.1291513,True,1
2.49942,08121447,30,0,LightSound,Twilight,relax,-0.06480408,-0.08235168,0.9944916,-0.04652375,0.12387,5.28862,5.273895,1,-0.05575562,-0.1184845,0.9913788,0.04135549,0.06439775,5.893295,5.905258,1,-0.06128475,True,1
2.599396,08121447,30,0,LightSound,Twilight,relax,-0.06393433,-0.08566284,0.9942627,-0.04652083,0.1227853,5.275787,5.275558,1,-0.05354309,-0.1168976,0.991684,0.04265261,0.06438738,5.906479,5.908401,1,-0.02507547,True,1
