Time,User,Trial,Repetition,TrialType,LightType,SoundType,gazeDirectionL.x,gazeDirectionL.y,gazeDirectionL.z,pupilPosL.x,pupilPosL.y,pupilsDiameterL,pupilsDiameterLmm,eyeOpennessL,gazeDirectionR.x,gazeDirectionR.y,gazeDirectionR.z,pupilPosR.x,pupilPosR.y,pupilsDiameterR,pupilsDiameterRmm,eyeOpennessR,light,sound,computedBrightness
0.09234619,08121447,17,0,LightSound,Day,arousal,0.001785278,-0.1195068,0.9928284,0.001565099,0.1166351,2.81723,2.816513,1,-0.01133728,-0.1221466,0.9924316,0.07436514,0.06613266,3.03598,3.028641,1,7,False,145
0.1923828,08121447,17,0,LightSound,Day,arousal,4.577637E-05,-0.1193695,0.9928436,0.0008256435,0.1162338,2.835876,2.835968,1,-0.01225281,-0.121933,0.9924622,0.07366908,0.06561476,3.086136,3.091476,1,7,False,145
0.2923584,08121447,17,0,LightSound,Day,arousal,0.001708984,-0.1198578,0.9927826,0.001425147,0.1158425,2.83313,2.823135,1,-0.01452637,-0.1269531,0.9917908,0.07382894,0.06498528,3.052185,3.052094,1,7,False,146
0.392395,08121447,17,0,LightSound,Day,arousal,0.003295898,-0.1204376,0.9927063,0.002463222,0.1154761,2.806625,2.791367,1,-0.01448059,-0.1297302,0.9914398,0.0738138,0.06390458,3.045883,3.045776,1,7,False,146
0.4923706,08121447,17,0,LightSound,Day,arousal,-0.01809692,-0.1286316,0.9915161,-0.005328059,0.1130508,2.840118,2.788254,1,-0.02810669,-0.1290436,0.9912262,0.06304824,0.06149995,3.11557,3.067322,1,7,False,145
0.5923462,08121447,17,0,LightSound,Day,arousal,-0.007965088,-0.1268158,0.9918823,-0.006472468,0.1123338,2.804428,2.804169,1,-0.02966309,-0.1313324,0.9908905,0.06296575,0.06082106,3.061935,3.065689,1,7,False,145
0.6923828,08121447,17,0,LightSound,Day,arousal,-0.01045227,-0.1272278,0.991806,-0.007788062,0.1124356,2.796112,2.788635,1,-0.03199768,-0.1318817,0.9907379,0.06271565,0.0614031,3.065765,3.049896,1,7,False,146
0.7923584,08121447,17,0,LightSound,Day,arousal,-0.01243591,-0.1327057,0.9910736,-0.008436739,0.1104308,2.746857,2.73526,1,-0.03189087,-0.1316223,0.9907837,0.0622462,0.06090003,2.999252,2.949066,1,7,False,145
0.892395,08121447,17,0,LightSound,Day,arousal,-0.01147461,-0.1324158,0.9911194,-0.008054018,0.1105734,2.618225,2.587967,1,-0.03190613,-0.1319733,0.9907379,0.06134629,0.06028944,2.890518,2.870056,1,7,False,145
0.9923706,08121447,17,0,LightSound,Day,arousal,-0.01229858,-0.1327209,0.9910736,-0.008352339,0.1109331,2.571198,2.575592,1,-0.03250122,-0.1306305,0.9908905,0.06114709,0.06142855,2.842819,2.824249,1,7,False,145
1.092346,08121447,17,0,LightSound,Day,arousal,-0.01301575,-0.1284332,0.9916229,-0.008825541,0.1122922,2.544937,2.54628,1,-0.03358459,-0.1289368,0.9910736,0.06050563,0.06177032,2.795761,2.790558,1,7,False,145
1.192383,08121447,17,0,LightSound,Day,arousal,-0.01434326,-0.1277008,0.9916992,-0.009678125,0.1125517,2.579376,2.579575,1,-0.0324707,-0.1279449,0.9912415,0.06034422,0.06180388,2.790192,2.791641,1,7,False,145
1.292358,08121447,17,0,LightSound,Day,arousal,-0.01481628,-0.1276398,0.9916992,-0.01040316,0.1123614,2.617523,2.618225,1,-0.03396606,-0.1316376,0.9907074,0.05961943,0.060718,2.802902,2.815445,1,7,False,145
1.392395,08121447,17,0,LightSound,Day,arousal,-0.01271057,-0.1304626,0.9913635,-0.0100897,0.1112252,2.668961,2.669052,1,-0.03427124,-0.1279297,0.9911804,0.05985272,0.06113553,2.876389,2.879196,1,7,False,145
1.492371,08121447,17,0,LightSound,Day,arousal,-0.01649475,-0.1287384,0.9915314,-0.01138109,0.1119475,2.672287,2.680573,1,-0.03675842,-0.1281128,0.9910736,0.05888748,0.06121153,2.924561,2.923615,1,7,False,145
1.592346,08121447,17,0,LightSound,Day,arousal,-0.0173645,-0.1303253,0.9913177,-0.01196885,0.1108835,2.704987,2.704514,1,-0.03637695,-0.1320953,0.9905548,0.05881333,0.05953872,2.925171,2.924545,1,7,False,145
1.692383,08121447,17,0,LightSound,Day,arousal,-0.01638794,-0.1340179,0.9908295,-0.01178378,0.1094082,2.696121,2.697418,1,-0.03695679,-0.1354065,0.990097,0.05830312,0.05786741,2.917282,2.920807,1,7,False,145
1.792358,08121447,17,0,LightSound,Day,arousal,-0.01937866,-0.1349945,0.9906464,-0.01276231,0.1091815,2.690475,2.686081,1,-0.03712463,-0.135437,0.9900818,0.05773485,0.05781907,2.92067,2.926575,1,7,False,145
1.892395,08121447,17,0,LightSound,Day,arousal,-0.01832581,-0.1388855,0.9901276,-0.01225281,0.1080279,2.679962,2.679886,1,-0.03631592,-0.1378174,0.9897766,0.05765438,0.05708724,2.920639,2.920792,1,7,False,145
1.992371,08121447,17,0,LightSound,Day,arousal,-0.01626587,-0.1380615,0.9902802,-0.01122969,0.1085144,2.670639,2.682449,1,-0.0370636,-0.1370697,0.9898529,0.05748439,0.05709791,2.921005,2.927734,1,7,False,145
2.092346,08121447,17,0,Sound,Day,arousal,-0.01931763,-0.138382,0.9901886,-0.01256198,0.1080745,2.684799,2.685165,1,-0.03875732,-0.1380615,0.9896545,0.05670202,0.05622691,2.933228,2.939331,1,7,True,145
2.192383,08121447,17,0,Sound,Day,arousal,-0.01679993,-0.1378021,0.9903107,-0.01185441,0.1086074,2.727646,2.728134,1,-0.04000854,-0.1354065,0.989975,0.05634022,0.05714232,2.940598,2.943863,1,7,True,145
2.292358,08121447,17,0,Sound,Day,arousal,-0.01901245,-0.1364136,0.9904633,-0.012564,0.1091127,2.725952,2.725586,1,-0.04032898,-0.1374359,0.9896851,0.05634511,0.05676216,2.966125,2.96167,1,7,True,146
2.392395,08121447,17,0,Sound,Day,arousal,-0.01622009,-0.1387939,0.9901733,-0.01223773,0.1075421,2.741058,2.752396,1,-0.03988647,-0.1370697,0.9897461,0.05634511,0.05594695,2.9729,2.99379,1,7,True,146
2.492371,08121447,17,0,Sound,Day,arousal,-0.01446533,-0.1367188,0.9904938,-0.01171172,0.1082532,2.757904,2.752655,1,-0.03555298,-0.1364899,0.9899902,0.0577507,0.05563569,3.05484,3.054642,1,7,True,146
